crop type,Nitrogen,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Iron,Boron,Copper,Manganese,Zinc,Molybdenum,Calcium nitrate,Monopotassium phosphate,Potassium nitrate,Magnesium sulfate,Chelated iron,Soluber (Boron),Copper sulfate,Manganese sulfate,Zinc sulfate,Sodium molybdate
cotton,100,12,117,60,19,26,0.4,0.4,0.3,0.2,0.2,0.0096,316,254,160,190,4,2,1.2,0.7,0.6,0
rice,91,1.5,104,60,19,26,3.1,0.4,0.3,0.2,0.2,0.0096,316,226,327,190,31,2,1.2,0.7,0.6,0
sugarcane,91,1.5,104,60,19,26,3.1,0.4,0.3,0.2,0.2,0.0096,316,226,327,190,31,2,1.2,0.7,0.6,0
wheat,91,1.5,125,60,19,26,3.1,0.4,0.3,0.2,0.2,0.0096,316,272,325,190,31,2,1.2,0.7,0.6,0
barley,91,1.5,125,60,19,26,3.1,0.4,0.3,0.2,0.2,0.0096,316,272,325,190,31,2,1.2,0.7,0.6,0
legumes,100,0.4,117,60,19,26,0.4,0.4,0.3,0.2,0.2,0.0096,316,254,391,190,4,2,1.2,0.7,0.6,0
sorghum,91,1.5,104,60,19,26,3.1,0.4,0.3,0.2,0.2,0.0096,316,226,327,190,31,2,1.2,0.7,0.6,0
leafy vegetables,200,62,150,210,50,70,2.5,0.44,0.05,0.62,0.09,0.03,1105,326,221,500,25,2,0.2,2.2,0.3,0.1
tomatoes,105,62,199,95,50,70,2.5,0.44,0.05,0.62,0.09,0.03,500,433,211,500,25,2,0.2,2.2,0.3,0.1
cucumbers,133,62,150,130,50,70,2.5,0.44,0.05,0.62,0.09,0.03,684,326,205,500,25,2,0.2,2.2,0.3,
